userName,score,at,content
Raden Juder,5,2026-02-15 19:48:48,good
Poethan Soe,2,2026-02-15 18:18:33,pemain banyak cit (curang)
RAFIL FAHRUROZI,5,2026-02-15 16:51:02,"game seru,, oke lah"
farish dansih,5,2026-02-15 15:33:56,saya sangat suka baguss
Cici Anggi,5,2026-02-15 14:47:46,Sangat mantap
Deadpol Dead,1,2026-02-15 13:56:05,saya sering dicurangi waktu
Ahmad Nizam,5,2026-02-15 13:50:14,seru woi lah cik
Naufal rizki,5,2026-02-15 12:38:15,"good game , good player , good job"
Akhtar Erzachel,5,2026-02-15 11:07:12,keren
Ariq Rabiul,5,2026-02-15 07:30:23,mengasah otak
080_Vercelly Boris Jehar,5,2026-02-14 23:29:39,bolehlah
Nazwa Andriani,5,2026-02-14 22:52:28,"sekang lebih bagus, tapi baru saja sya main, lawan india, menit saya diatas 6 menit,dan lawan saya 1menit:21 detik,kenapa naik jadi 2menit dan nambah jadi 3 menit."
Rayyan Azhar,5,2026-02-14 21:43:51,sangat bagus
Misdavin Kumara,5,2026-02-14 21:34:21,the good game
wahyu siitem,5,2026-02-14 20:30:46,game ini sangat bagus untuk belajar main catur
Ahmad Fajar Hendarto,4,2026-02-14 19:57:34,Platform catur yang solid dengan banyak mode permainan. Akan lebih sempurna jika lebih banyak fitur gratis.
Bayu Bayu,5,2026-02-14 19:16:50,bagus
Leo Swatt,5,2026-02-14 19:08:27,bagus sekali
Muhammad Nabil habibi,5,2026-02-14 16:26:29,"bro I become smart when I play chess in this game, I'm going to beat Magnus Carlsen fr"
Abhe Batman,5,2026-02-14 14:42:29,aplikasinya bagus gk bikin panas ke hp
Achmad rohman Habibi,5,2026-02-14 14:28:38,bagusss
Lenk Celenk,1,2026-02-14 12:10:01,ngeban ngasal
Accel LX,5,2026-02-14 10:51:12,jago aku
budi aman prasetyo,5,2026-02-14 08:16:35,sip & oke
Dai Ritonga,5,2026-02-14 04:09:09,perfecto
Sutrisno #14,5,2026-02-13 21:28:15,👍👍👍
Sunu Pamungkas,4,2026-02-13 20:55:53,"dimainkan di hand phone, tapi ketika baca pesan WA hitungan detik langsung dianggap mengabaikan dan kalah ..."
Mehrintkj3 Infkanesa,5,2026-02-13 16:20:59,game dengan opsi terbaik untuk pemula belajar tentang catur!!
fayza nurin,5,2026-02-13 15:59:40,ini sedikit mengasah kemampuan
Tarsila Yoga,5,2026-02-13 12:30:12,game ini sangat bagus
Cya Gemoy,5,2026-02-13 10:20:08,geme baguss ⚡
Harun Wibowo,5,2026-02-12 23:00:30,i like chess
Fiyuuz XD,5,2026-02-12 21:45:02,w chess game
dendy rustandi,5,2026-02-12 21:44:15,mantap aplikasi nya
17_62_Febriandinoor Fauzi Amarsyah,1,2026-02-12 21:23:25,dibanned Mulu.. kocak..
